City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Wichian Buri,15.6578,101.106,78.46,90,74,8.86,TH,1631358705
Belén de Umbría,5.2009,-75.8687,61.45,99,99,0.87,CO,1631358705
Arrondissement de Langres,47.8333,5.3333,67.05,69,53,3.87,FR,1631358706
Massa Marittima,43.049,10.8928,86.34,32,46,1.32,IT,1631358707
Lagodekhi,41.8268,46.2767,79.75,46,0,5.3,GE,1631358708
Yazykovo,55.2199,56.1353,55.56,36,93,17.11,RU,1631358709
Villabona,43.1854,-2.053,80.6,68,69,3.22,ES,1631358710
Platte City,39.3703,-94.7825,75.02,75,1,9.22,US,1631358710
Butler,39.4501,-84.5666,61.11,86,1,3.44,US,1631358711
Leavenworth,39.2333,-95.0336,74.25,80,0,1.99,US,1631358712
Bataysk,47.1398,39.7518,81.99,22,20,11.88,RU,1631358713
Uelzen,52.9667,10.5667,75.61,77,60,10.67,DE,1631358713
San Carlos,9.6612,-68.5827,71.8,90,94,2.01,VE,1631358714
Country Club,25.9482,-80.317,78.98,92,1,0.0,US,1631358710
Vlašim,49.7063,14.8988,77.22,60,95,6.38,CZ,1631358489
Christchurch,-43.5333,172.6333,47.91,84,81,3.0,NZ,1631358716
Faßberg,52.9,10.1667,72.9,82,65,9.22,DE,1631358717
Neutraubling,48.9833,12.2,70.86,77,100,4.38,DE,1631358718
Karumba,-17.4833,140.8333,77.72,68,3,8.57,AU,1631358719
Hobbs,32.7026,-103.136,69.67,63,90,0.0,US,1631358720
Escoublac,47.2947,-2.3596,70.97,61,0,3.44,FR,1631358721
San Ricardo,15.5959,120.9727,75.25,98,100,6.38,PH,1631358721
Rottenmann,47.5167,14.35,69.37,69,76,4.38,AT,1631358722
Serra Negra,-22.6122,-46.7006,61.11,71,96,2.01,BR,1631358723
Pakenham,-38.0667,145.4833,61.2,74,100,1.99,AU,1631358724
Al Fayd,30.615,-8.2147,95.25,13,3,5.14,MA,1631358724
Robbinsdale,45.0322,-93.3386,66.61,88,1,3.44,US,1631358725
Kanungu,-0.9575,29.7897,75.9,41,82,3.06,UG,1631358726
Ustyuzhna,58.8394,36.4321,56.59,79,91,7.31,RU,1631358727
Volvera,44.9548,7.5114,84.56,42,7,5.01,IT,1631358727
Briton Ferry,51.6311,-3.819,67.8,69,91,1.01,GB,1631358728
Tolú,9.5239,-75.5814,75.9,93,100,11.43,CO,1631358729
Carpi,44.7824,10.8777,84.94,35,95,3.38,IT,1631358729
Campo Redondo,-6.2414,-36.1825,76.6,54,8,15.61,BR,1631358730
Givors,45.5833,4.7667,75.52,59,5,5.82,FR,1631358731
General Carneiro,-26.4275,-51.3156,52.61,66,30,0.74,BR,1631358731
DuPont,47.0968,-122.6312,60.03,89,75,6.91,US,1631358732
Northbrook,42.1275,-87.8289,66.83,78,1,8.05,US,1631358733
Hayes,51.5158,-0.4234,71.65,73,40,11.5,GB,1631358734
Bous,49.2833,6.8,71.26,80,68,6.64,DE,1631358734
Großmehring,48.7667,11.5333,70.83,73,92,2.3,DE,1631358735
Vladičin Han,42.7078,22.0633,82.33,21,14,6.53,RS,1631358736
Eaubonne,48.9971,2.2825,72.37,65,20,11.5,FR,1631358737
Sawley,53.9143,-2.3414,68.05,81,100,14.52,GB,1631358737
Waltham,42.3765,-71.2356,55.94,86,1,1.01,US,1631358738
Sečovce,48.7007,21.661,77.0,28,31,1.79,SK,1631358739
Province of Ragusa,36.9167,14.6,79.12,65,75,10.36,IT,1631358740
Zarand,30.8127,56.564,84.65,10,0,14.58,IR,1631358740
Voreppe,45.2948,5.6332,76.87,76,4,4.74,FR,1631358741
Girifalco,38.8243,16.4241,69.89,73,75,17.27,IT,1631358742
Klyuchi,52.2667,79.1667,54.43,87,100,13.96,RU,1631358742
Xiwanzi,40.9714,115.2725,64.51,70,0,5.82,CN,1631358744
Sopela,43.3789,-2.9831,85.8,59,0,1.01,ES,1631358744
Otranto,40.1478,18.4859,74.37,60,89,8.9,IT,1631358745
Gattaran,18.0557,121.641,73.96,97,100,8.61,PH,1631358746
San Rafael,-34.6177,-68.3301,51.73,56,76,4.38,AR,1631358580
Americana,-22.7392,-47.3314,69.42,69,93,3.96,BR,1631358537
Ipixuna,-1.7625,-48.8043,78.75,80,7,5.91,BR,1631358748
Inverness,57.4791,-4.224,62.8,84,75,5.01,GB,1631358749
Mergen,49.1833,125.2167,49.37,90,22,5.88,CN,1631358750
Beltsville,39.0348,-76.9075,59.95,94,1,1.01,US,1631358751
New Holland,40.1018,-76.0852,56.68,91,1,0.0,US,1631358752
San Marcos,33.1434,-117.1661,77.11,83,1,0.0,US,1631358733
Pingdingshan,33.7385,113.3012,82.02,57,0,6.51,CN,1631358753
Bridlington,54.0831,-0.1919,70.14,71,98,14.67,GB,1631358753
Saint-Ouen-l'Aumône,49.0435,2.1213,72.61,68,75,9.22,FR,1631358754
Gemeente Druten,51.8833,5.6,68.29,86,100,7.0,NL,1631358755
Concord,37.978,-122.0311,63.05,82,1,1.01,US,1631358618
Barabash,43.2,131.4833,67.68,96,45,3.15,RU,1631358756
Litzendorf,49.9144,11.0103,71.78,76,97,5.77,DE,1631358757
Carmo da Cachoeira,-21.4608,-45.2236,71.69,69,100,3.78,BR,1631358758
Orsett,51.5125,0.3531,72.14,75,94,10.16,GB,1631358759
Selma,36.5708,-119.6121,73.45,58,1,3.44,US,1631358759
Twinsburg,41.3126,-81.4401,61.47,87,1,0.0,US,1631358760
Flat Rock,42.0964,-83.2919,65.12,76,1,6.91,US,1631358761
Vecpiebalga,57.0599,25.8127,71.49,56,28,7.94,LV,1631358761
Stornarella,41.2572,15.7314,70.25,40,100,8.01,IT,1631358762
Dickson,36.077,-87.3878,62.8,94,90,3.44,US,1631358763
Beya,53.0533,90.9139,57.18,53,100,6.46,RU,1631358764
Columbia,34.0007,-81.0348,59.9,94,1,1.99,US,1631358738
Mono,37.9166,-118.8676,50.59,64,0,5.66,US,1631358765
Renwick,-41.5,173.8333,45.66,87,66,5.03,NZ,1631358765
Palm Beach,26.6503,-80.4498,76.98,97,83,2.15,US,1631358766
Utley,53.8667,-1.9167,66.72,78,40,7.0,GB,1631358767
Titusville,28.6122,-80.8075,77.0,92,40,0.0,US,1631358768
Maracaí,-22.6106,-50.6672,66.47,68,97,7.9,BR,1631358768
Preveza,38.95,20.75,80.51,57,20,8.05,GR,1631358749
Alagoa Grande,-7.1583,-35.63,75.56,59,70,12.88,BR,1631358769
Ingá,-7.2808,-35.6044,77.9,57,72,13.06,BR,1631358770
Zhukovka,53.534,33.728,71.87,45,82,4.99,RU,1631358771
Gänserndorf,48.3392,16.7202,82.02,54,10,2.93,AT,1631358772
Stadthagen,52.3233,9.2031,70.7,75,86,11.5,DE,1631358773
San Juan de Urabá,8.7592,-76.5297,74.1,95,100,8.34,CO,1631358773
Stroud,51.75,-2.2,71.11,63,40,8.05,GB,1631358774
Jever,53.5833,7.9,68.23,94,75,10.36,DE,1631358775
Kasur,31.1156,74.4467,78.91,52,76,6.93,PK,1631358776
Uiwang,37.3449,126.969,76.32,75,0,3.27,KR,1631358777
Hato Mayor,18.7629,-69.256,74.71,94,1,3.65,DO,1631358777
Lappeenranta,61.0587,28.1887,60.85,88,75,5.75,FI,1631358778
Spinazzola,40.9671,16.0916,74.32,49,100,9.35,IT,1631358779
Matam,15.6175,-13.3303,88.0,54,84,9.44,SN,1631358780
Bruguières,43.7272,1.4076,77.09,64,20,3.44,FR,1631358780
Ciudad Manuel Doblado,20.7333,-101.9333,56.35,92,53,4.14,MX,1631358782
Bonnyrigg,55.8733,-3.1051,66.83,80,75,5.01,GB,1631358783
Heanor,53.0137,-1.3538,70.75,78,100,3.0,GB,1631358784
Fartura,-23.3883,-49.51,64.31,77,98,4.97,BR,1631358784
Hluboká nad Vltavou,49.0523,14.4343,77.31,62,27,4.29,CZ,1631358785
Coconut Creek,26.2518,-80.1789,76.98,92,1,0.0,US,1631358786
Cazzago San Martino,45.5938,10.0419,80.6,69,100,1.01,IT,1631358787
Arrondissement de Dinan,48.4167,-2.25,67.41,62,39,6.73,FR,1631358787
Candiota,-31.5581,-53.6725,53.31,100,88,3.06,BR,1631358788
Álvaro de Carvalho,-22.0892,-49.7189,66.61,65,76,7.65,BR,1631358789
São Caetano do Sul,-23.6231,-46.5511,66.52,85,0,3.0,BR,1631358790
Strathmore,51.0501,-113.3852,53.87,94,100,7.87,CA,1631358790
Lomas del Mirador,-34.666,-58.5245,57.94,85,90,1.99,AR,1631358791
Croxley Green,51.6508,-0.4455,71.96,74,40,1.99,GB,1631358792
Pisa,43.7155,10.3966,89.8,36,0,5.75,IT,1631358793
Novo Horizonte,-21.4681,-49.2208,73.54,49,80,8.59,BR,1631358793
Cottage Grove,44.8277,-92.9438,66.65,90,1,0.0,US,1631358794
Washington,47.5001,-120.5015,56.57,79,42,5.59,US,1631358648
Westmount,45.4834,-73.5992,58.89,80,60,5.88,CA,1631358795
Castel San Giovanni,45.0583,9.4335,85.8,32,55,4.07,IT,1631358796
Gemeente Boxtel,51.5833,5.3167,69.26,82,90,10.36,NL,1631358797
Lawrenceville,33.9562,-83.988,61.68,92,40,0.0,US,1631358550
Guadalajara de Buga,3.9009,-76.2978,65.91,93,100,1.83,CO,1631358799
Blaenavon,51.774,-3.0854,65.39,68,86,10.85,GB,1631358800
Braine-l'Alleud,50.6836,4.3678,67.05,87,99,1.99,BE,1631358801
Rajahmundry,16.9833,81.7833,84.43,79,90,10.36,IN,1631358801
La Huacana,18.9667,-101.8167,68.25,80,97,4.03,MX,1631358802
Estes Park,40.3772,-105.5217,65.8,36,88,1.01,US,1631358778
St. Michael,47.1278,16.2697,80.17,30,19,2.62,AT,1631358803
Plainview,40.7765,-73.4673,63.86,87,1,0.0,US,1631358804
Buchrain,47.086,8.3462,77.0,65,0,0.0,CH,1631358805
Herbignac,47.4482,-2.3181,71.19,60,0,3.44,FR,1631358807
Forest Lake,45.2789,-92.9852,66.45,90,51,7.7,US,1631358807
Arrondissement de Nice,44.0,7.25,69.55,35,10,6.85,FR,1631358665
Lanett,32.8687,-85.1905,67.59,100,1,0.0,US,1631358808
Pornichet,47.2668,-2.3379,71.29,61,0,3.44,FR,1631358809
Pullach im Isartal,48.0612,11.5215,69.98,71,40,3.0,DE,1631358810
Mayate,8.4033,-12.3644,79.56,83,99,3.85,SL,1631358811
Roetgen,50.65,6.2,68.94,77,33,5.01,DE,1631358812
Silver Spring,38.9907,-77.0261,59.18,92,1,0.0,US,1631358574
Tengzhou,35.0771,117.1518,78.3,78,1,5.48,CN,1631358813
Almenno San Bartolomeo,45.7427,9.5823,80.08,54,0,4.61,IT,1631358745
Pushkar,26.5,74.55,81.43,78,100,9.57,IN,1631358814
Dalhart,36.0595,-102.5133,72.39,27,73,12.68,US,1631358815
Xaçmaz,41.4635,48.806,78.6,42,0,8.88,AZ,1631358816
Isil'kul',54.9109,71.2728,50.81,51,94,17.96,RU,1631358816
Milan,45.4643,9.1895,84.09,48,0,1.01,IT,1631358600
Oshnavīyeh,37.0397,45.0983,88.29,10,0,5.91,IR,1631358818
Benslimane,33.5,-7.1667,81.75,30,0,3.58,MA,1631358819
Cébazat,45.834,3.1005,73.06,53,40,3.44,FR,1631358820
Wangen bei Olten,47.3421,7.8716,74.03,64,9,3.06,CH,1631358820
Orahovac,42.3994,20.6547,81.54,25,87,4.16,XK,1631358821
Akhalts'ikhe,41.639,42.9826,74.39,60,9,8.55,GE,1631358822
Hawick,55.4227,-2.7867,67.12,86,100,11.16,GB,1631358822
Mata de São João,-12.5303,-38.2992,74.95,73,51,2.73,BR,1631358823
Drochia,48.035,27.8161,78.6,23,87,5.12,MD,1631358825
Hong Kong,22.2855,114.1577,89.65,82,29,1.01,HK,1631358667
Burshtyn,49.2587,24.6278,73.81,36,100,3.8,UA,1631358826
Mahibadhoo,3.7833,72.9667,83.37,69,100,9.28,MV,1631358827
Waterbury,41.5582,-73.0515,56.21,80,1,0.0,US,1631358598
Ocean Bluff-Brant Rock,42.1023,-70.6574,60.03,90,1,6.91,US,1631358829
Lancaster,40.2504,-76.2499,56.48,96,1,0.0,US,1631358676
Pedro Carbo,-1.8333,-80.2333,71.2,83,100,5.5,EC,1631358830
Usurbil,43.2715,-2.0481,80.98,68,67,1.99,ES,1631358831
Haslingden,53.7033,-2.3238,66.09,85,100,7.0,GB,1631358832
Neu Bleckede,53.3004,10.7441,71.62,71,47,11.16,DE,1631358832
Ostellato,44.7457,11.9435,85.28,40,100,5.41,IT,1631358833
Yaring,6.8662,101.3689,82.36,76,100,7.31,TH,1631358834
Ciudad Constitución,25.0369,-111.6644,75.83,91,99,6.46,MX,1631358835
Chernyshevskiy,63.0128,112.4714,53.1,69,100,3.87,RU,1631358835
Euclid,41.5931,-81.5268,62.69,80,1,5.75,US,1631358836
Kayes,14.0,-11.0,83.12,68,45,7.09,ML,1631358837
Casteldaccia,38.0526,13.5287,81.16,57,40,1.54,IT,1631358838
Hechi,24.7,107.8667,81.18,79,22,0.25,CN,1631358563
Salto Grande,-22.8928,-49.9856,64.96,78,95,5.75,BR,1631358839
Tatuí,-23.3556,-47.8569,68.65,72,93,3.38,BR,1631358638
Lenart v Slov. Goricah,46.5761,15.8314,80.17,50,20,3.44,SI,1631358841
Giohar,2.7809,45.5005,92.39,38,58,24.25,SO,1631358841
Mably,46.0862,4.0661,79.0,59,28,4.09,FR,1631358842
Maniago,46.1706,12.7078,80.56,53,41,3.83,IT,1631358843
Nohfelden,49.5869,7.1428,67.91,92,98,6.87,DE,1631358844
Tizi-n-Tleta,36.5457,4.0571,83.61,35,7,5.99,DZ,1631358844
Mandelieu-la-Napoule,43.5456,6.938,88.16,38,0,6.91,FR,1631358845
Grabels,43.648,3.7986,82.38,50,0,4.61,FR,1631358846
Santa Fe,-31.6333,-60.7,55.99,85,3,4.0,AR,1631358846
Santa Teresita,13.8664,120.9814,77.13,87,100,0.58,PH,1631358848
Bad Hofgastein,47.1667,13.1,77.58,77,71,1.01,AT,1631358848
Florange,49.3237,6.1212,71.85,73,81,5.01,FR,1631358849
Volpago del Montello,45.7773,12.1144,81.9,50,0,3.44,IT,1631358850
Harvey,38.05,-97.4336,69.73,72,1,5.01,US,1631358851
Yeniseysk,58.4497,92.1703,51.13,86,100,4.76,RU,1631358851
Induno Olona,45.848,8.8366,80.89,54,0,3.44,IT,1631358852
Écublens,46.529,6.5626,76.8,75,19,0.51,CH,1631358853
Colona,41.4839,-90.3532,66.61,81,1,0.0,US,1631358854
Voorhees,39.8512,-74.962,58.62,92,1,0.0,US,1631358855
Sawmills,35.8248,-81.4745,59.88,92,1,3.44,US,1631358856
Freudenstadt,48.4333,8.4167,68.43,64,41,5.32,DE,1631358856
Discovery Bay,37.9085,-121.6002,64.4,77,0,4.05,US,1631358629
Barclayville,4.6797,-8.2339,85.89,63,92,1.88,LR,1631358858
Saint-Gervais-les-Bains,45.8929,6.7138,73.02,62,27,4.41,FR,1631358858
Uspantán,15.3833,-90.8333,56.26,98,100,3.18,GT,1631358859
Patnongon,10.9132,121.9937,80.8,81,99,2.08,PH,1631358860
Bergenfield,40.9276,-73.9974,62.85,82,1,0.0,US,1631358861
White Marsh,39.3837,-76.4322,60.19,96,1,0.0,US,1631358861
Barton,38.4667,-98.767,73.15,63,1,10.36,US,1631358862
Benton,36.3334,-94.3335,71.51,70,1,5.75,US,1631358863
Dessie,11.1333,39.6333,67.46,57,82,5.91,ET,1631358863
Altofonte,38.042,13.2962,76.98,80,54,8.88,IT,1631358864
Oryol,52.9658,36.0803,71.92,49,99,5.12,RU,1631358865
Ozoir-la-Ferrière,48.767,2.6687,71.76,63,75,9.22,FR,1631358866
Belëv,53.8119,36.1319,68.95,60,100,4.65,RU,1631358866
Yunshan,34.7,119.3667,76.35,92,1,9.22,CN,1631358867
Coqueiral,-21.1894,-45.4406,72.63,68,100,3.94,BR,1631358868
Elverum,60.8819,11.5623,62.6,68,99,4.47,NO,1631358868
Sarmakovo,43.7456,43.2003,69.1,68,88,9.35,RU,1631358869
Carolina,18.3808,-65.9574,82.76,83,40,0.0,PR,1631358870
Isaías Coelho,-7.7378,-41.6761,82.44,43,1,10.38,BR,1631358871
Edemissen,52.387,10.2614,71.56,57,64,12.5,DE,1631358871
Ellicott City,39.2673,-76.7983,60.13,91,20,5.75,US,1631358605
Girvan,55.2426,-4.8555,63.32,98,100,11.48,GB,1631358873
Shihezi,44.3,86.0333,77.58,27,0,10.71,CN,1631358873
Caldwell,43.6629,-116.6874,58.51,97,1,3.44,US,1631358874
Nallıhan,40.1859,31.3518,71.67,45,82,7.02,TR,1631358875
Consolacion,10.3667,123.95,78.48,87,100,4.99,PH,1631358875
Chapultenango,17.3167,-93.1167,65.5,98,100,1.66,MX,1631358876
Surfside,25.8784,-80.1256,79.0,90,1,0.0,US,1631358877
Toyota,35.0833,137.15,78.19,78,89,0.43,JP,1631358878
Chicago Heights,41.5061,-87.6356,66.74,79,1,5.75,US,1631358712
Priolo Gargallo,37.1572,15.1802,83.68,65,41,5.17,IT,1631358879
Longkeng,27.5891,106.8547,76.68,77,93,6.35,CN,1631358879
Veranópolis,-28.9361,-51.5494,53.53,86,11,1.3,BR,1631358880
Avrig,45.7167,24.3833,74.05,27,50,3.91,RO,1631358881
Carnforth,54.1167,-2.7667,67.01,87,100,3.0,GB,1631358882
Sprendlingen,49.8667,7.9833,71.91,90,41,9.33,DE,1631358882
Swampscott,42.4709,-70.9175,55.85,85,1,1.01,US,1631358884
Colleyville,32.881,-97.155,73.18,63,1,1.01,US,1631358838
Panama City,8.9936,-79.5197,78.75,92,40,1.14,PA,1631358710
Amapá,1.0,-52.0,75.7,82,34,3.67,BR,1631358885
Jiaojiazhuang,35.8493,103.068,73.36,35,8,6.24,CN,1631358886
Sátoraljaújhely,48.4,21.6667,77.25,25,32,2.51,HU,1631358887
Ciudad de Atlixco,18.9667,-98.4667,53.47,73,94,7.85,MX,1631358888
Oelwein,42.6733,-91.9135,60.42,94,4,5.79,US,1631358889
Solsona,41.994,1.5171,77.92,48,19,6.44,ES,1631358889
Moeiwadi,16.3894,104.1572,77.09,93,100,5.59,TH,1631358890
Cacoal,-11.4386,-61.4472,76.33,73,32,1.41,BR,1631358891
Mios,44.6049,-0.9333,81.48,53,0,8.05,FR,1631358892
Orono,44.8831,-68.672,56.77,85,20,6.91,US,1631358660
Ascea,40.1416,15.1858,79.77,81,100,1.72,IT,1631358893
San Fernando,15.0286,120.6898,77.14,96,100,3.15,PH,1631358894
Palatka,29.6486,-81.6376,76.98,81,100,3.69,US,1631358895
Delfinópolis,-20.3439,-46.8539,77.32,55,85,4.43,BR,1631358896
Sabon Birni,12.1829,7.933,88.72,50,100,2.28,NG,1631358896
Dalmine,45.6493,9.604,81.16,51,0,4.61,IT,1631358897
Kahaluu-Keauhou,19.5718,-155.9617,78.42,87,100,1.99,US,1631358898
La Ferté-Macé,48.59,-0.358,66.52,50,20,6.6,FR,1631358898
Hulyaypole,47.6653,36.2578,81.5,24,71,9.8,UA,1631358900
